iter	Passed	Remaining
444	1154	1439
445	1156	1437
446	1158	1433
447	1159	1429
448	1161	1424
449	1162	1421
450	1164	1417
451	1165	1413
452	1166	1408
453	1168	1404
454	1171	1403
455	1173	1400
456	1174	1395
457	1176	1392
458	1179	1390
459	1181	1386
460	1182	1382
461	1184	1379
462	1186	1375
463	1187	1371
464	1188	1367
465	1193	1367
466	1194	1363
467	1195	1359
468	1198	1356
469	1199	1353
470	1200	1348
471	1202	1344
472	1203	1340
473	1206	1338
474	1208	1335
475	1209	1331
476	1210	1327
477	1212	1324
478	1214	1320
479	1215	1317
480	1216	1313
481	1218	1309
482	1220	1305
483	1221	1301
484	1222	1297
485	1226	1297
486	1228	1294
487	1229	1290
488	1231	1286
489	1232	1283
490	1234	1279
491	1235	1275
492	1236	1271
493	1237	1267
494	1242	1267
495	1243	1264
496	1244	1259
497	1246	1256
498	1247	1252
499	1249	1249
500	1250	1245
501	1251	1241
502	1252	1237
503	1254	1234
504	1255	1230
505	1256	1227
506	1258	1223
507	1264	1224
508	1265	1220
509	1267	1217
510	1269	1215
511	1271	1211
512	1272	1207
513	1272	1203
514	1274	1200
515	1276	1196
516	1277	1193
517	1278	1189
518	1279	1185
519	1281	1182
520	1282	1179
521	1284	1175
522	1285	1172
523	1286	1168
524	1287	1164
525	1288	1161
526	1290	1158
527	1291	1154
528	1292	1150
529	1293	1147
530	1295	1144
531	1296	1140
532	1298	1137
533	1299	1133
534	1300	1129
535	1302	1127
536	1304	1124
537	1305	1121
538	1307	1117
539	1308	1114
540	1309	1111
541	1311	1108
542	1312	1104
543	1313	1100
544	1314	1097
545	1316	1094
546	1318	1091
547	1319	1087
548	1320	1084
549	1321	1080
550	1322	1077
551	1324	1074
552	1325	1071
553	1326	1067
554	1327	1064
555	1328	1060
556	1330	1057
557	1331	1054
558	1332	1051
559	1333	1047
560	1334	1044
561	1335	1040
562	1336	1037
563	1338	1034
564	1339	1031
565	1340	1027
566	1341	1024
567	1341	1020
568	1344	1018
569	1345	1015
570	1346	1011
571	1347	1008
572	1348	1004
573	1349	1001
574	1350	998
575	1352	995
576	1353	991
577	1354	988
578	1355	985
579	1356	981
580	1357	978
581	1358	975
582	1359	972
583	1360	968
584	1361	965
585	1362	962
586	1363	959
587	1365	956
588	1366	953
589	1367	950
590	1368	947
591	1369	943
592	1370	940
593	1371	937
594	1372	934
595	1373	931
596	1374	927
597	1375	924
598	1376	921
599	1377	918
600	1378	915
601	1380	912
602	1380	909
603	1381	905
604	1382	902
605	1383	899
606	1385	896
607	1386	893
608	1387	890
609	1388	887
610	1389	884
611	1390	881
612	1392	878
613	1393	875
614	1394	872
615	1395	869
616	1396	866
617	1397	863
618	1398	860
619	1400	858
620	1401	855
621	1402	852
622	1403	849
623	1404	846
624	1405	843
625	1406	840
626	1407	837
627	1408	834
628	1409	831
629	1410	828
630	1411	825
631	1413	822
632	1414	820
633	1415	817
634	1416	814
635	1417	811
636	1419	808
637	1420	806
638	1421	803
639	1422	800
640	1423	797
641	1424	794
642	1426	791
643	1427	789
644	1428	786
645	1429	783
646	1430	780
647	1431	777
648	1432	774
649	1434	772
650	1435	769
651	1437	767
652	1438	764
653	1439	761
654	1441	759
655	1442	756
656	1443	753
657	1443	750
658	1444	747
659	1445	744
660	1446	742
661	1448	739
662	1449	736
663	1450	733
664	1451	731
665	1452	728
666	1453	725
667	1454	722
668	1455	720
669	1456	717
670	1457	714
671	1458	711
672	1459	709
673	1460	706
674	1462	704
675	1463	701
676	1463	698
677	1465	695
678	1466	693
679	1467	690
680	1468	687
681	1469	685
682	1470	682
683	1471	679
684	1472	677
685	1473	674
686	1474	671
687	1475	669
688	1476	666
689	1477	663
690	1478	661
691	1480	658
692	1481	656
693	1482	653
694	1483	651
695	1485	648
696	1486	646
697	1487	643
698	1489	641
699	1490	638
700	1491	636
701	1492	633
702	1493	630
703	1495	628
704	1496	626
705	1497	623
706	1498	620
707	1499	618
708	1500	615
709	1501	613
710	1503	611
711	1504	608
712	1505	606
713	1506	603
714	1507	600
715	1509	598
716	1510	596
717	1511	593
718	1512	591
719	1513	588
720	1515	586
721	1517	584
722	1518	581
723	1519	579
724	1520	576
725	1521	574
726	1523	572
727	1524	569
728	1526	567
729	1527	564
730	1528	562
731	1529	560
732	1531	557
733	1532	555
734	1533	552
735	1534	550
736	1535	547
737	1536	545
738	1537	543
739	1539	540
740	1540	538
741	1541	536
742	1543	534
743	1547	532
744	1549	530
745	1551	528
746	1553	526
747	1554	523
748	1556	521
749	1558	519
750	1559	517
751	1561	514
752	1563	512
753	1566	510
754	1567	508
755	1568	506
756	1570	504
757	1572	502
758	1574	499
759	1575	497
760	1576	495
761	1578	493
762	1580	490
763	1581	488
764	1582	486
765	1583	483
766	1584	481
767	1586	479
768	1587	476
769	1588	474
770	1588	471
771	1589	469
772	1591	467
773	1592	464
774	1593	462
775	1594	460
776	1594	457
777	1596	455
778	1598	453
779	1599	451
780	1600	448
781	1601	446
782	1602	444
783	1603	441
784	1606	440
785	1608	437
786	1609	435
787	1610	433
788	1612	431
789	1614	429
790	1615	426
791	1616	424
792	1617	422
793	1619	420
794	1621	418
